Symbol,Description,Sector,Industry
AAPL,Apple Inc.,Electronic technology,Telecommunications equipment
NVDA,NVIDIA Corporation,Electronic technology,Semiconductors
MSFT,Microsoft Corporation,Technology services,Packaged software
GOOG,Alphabet Inc.,Technology services,Internet software/Services
GOOGL,Alphabet Inc.,Technology services,Internet software/Services
AMZN,"Amazon.com, Inc.",Retail trade,Internet retail
META,"Meta Platforms, Inc.",Technology services,Internet software/Services
BRK.A,Berkshire Hathaway Inc.,Finance,Property/Casualty insurance
BRK.B,Berkshire Hathaway Inc. New,Finance,Property/Casualty insurance
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Electronic technology,Semiconductors
TSLA,"Tesla, Inc.",Consumer durables,Motor vehicles
AVGO,Broadcom Inc.,Electronic technology,Semiconductors
LLY,Eli Lilly and Company,Health technology,Pharmaceuticals: major
WMT,Walmart Inc.,Retail trade,Specialty stores
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",Finance,Major banks
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",Finance,Major banks
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",Finance,Major banks
JPM,JP Morgan Chase & Co.,Finance,Major banks
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",Finance,Major banks
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",Finance,Major banks
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",Finance,Major banks
V,Visa Inc.,Commercial services,Miscellaneous commercial services
XOM,Exxon Mobil Corporation,Energy minerals,Integrated oil
TCTZF,Tencent Holding Ltd.,Technology services,Packaged software
TCEHY,Tencent Holding Ltd.,Technology services,Packaged software
NONOF,Novo-Nordisk A/S,Health technology,Pharmaceuticals: major
NVO,Novo Nordisk A/S,Health technology,Pharmaceuticals: major
ORCL,Oracle Corporation,Technology services,Packaged software
MA,Mastercard Incorporated,Commercial services,Miscellaneous commercial services
HD,"Home Depot, Inc. (The)",Retail trade,Home improvement chains
PG,Procter & Gamble Company (The),Consumer non-durables,Household/Personal care
COST,Costco Wholesale Corporation,Retail trade,Specialty stores
JNJ,Johnson & Johnson,Health technology,Pharmaceuticals: major
LVMUY,LVMH-Moet Hennessy Louis Vuitton,Consumer non-durables,Apparel/Footwear
LVMHF,LVMH-Moet Hennessy Louis Vuitton,Consumer non-durables,Apparel/Footwear
NFLX,"Netflix, Inc.",Technology services,Internet software/Services
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",Finance,Major banks
BAC,Bank of America Corporation,Finance,Major banks
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",Finance,Major banks
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,Finance,Major banks
BML/PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,Finance,Major banks
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,Finance,Major banks
